date,state,fips,cases,deaths
2018/1/1,Candy Crush Saga,39309045,1,0
2018/1/2,Fantasy Westward Journey,43522618,1,0
2018/1/3,Fate/Grand Order,122385564,1,0
2018/1/4,GranBlue Fantasy,19937077,1,0
2018/1/5,Honour of Kings,108457107,1,0
2018/1/6,Lineage 2 Revolution,24950709,1,0
2018/1/7,Monster Strike,146665288,1,0
2018/1/8,MU Awakening,38069295,1,0
2018/1/9,Puzzle ; Dragons,37519101,1,0
2018/1/10,QQ Speed,65419108,1,0
2018/1/11,A Dream of Jianghu,42941194,1,0
2018/1/12,Candy Crush Saga,33307499,1,0
2018/1/13,Dragon Ball Z Dokkan Battle,36088308,1,0
2018/1/14,Fantasy Westward Journey,60644220,1,0
2018/1/15,Fate/Grand Order,84736371,1,0
2018/1/16,Honour of Kings,123002574,1,0
2018/1/17,Knives Out,26825805,1,0
2018/1/18,Monster Strike,54040269,1,0
2018/1/19,MU Awakening,27106337,1,0
2018/1/20,QQ Speed,78768064,1,0
2018/1/21,A Dream of Jianghu,51653992,1,0
2018/1/22,Candy Crush Saga,39954283,1,0
2018/1/23,Fantasy Westward Journey,72125520,1,0
2018/1/24,Fate/Grand Order,49435978,1,0
2018/1/25,Honour of Kings,110355240,1,0
2018/1/26,Knives Out,33055251,1,0
2018/1/27,Monster Strike,38203014,1,0
2018/1/28,Pokémon GO,25261781,1,0
2018/1/29,QQ Speed,78506147,1,0
2018/1/30,Westward Journey Online,25170078,1,0
2018/1/31,Candy Crush Saga,39309045,1,0
2018/2/1,Fantasy Westward Journey,43522618,1,0
2018/2/2,Fate/Grand Order,122385564,1,0
2018/2/3,GranBlue Fantasy,19937077,1,0
2018/2/4,Honour of Kings,108457107,1,0
2018/2/5,Lineage 2 Revolution,24950709,1,0
2018/2/6,Monster Strike,146665288,1,0
2018/2/7,MU Awakening,38069295,1,0
2018/2/8,Puzzle ; Dragons,37519101,1,0
2018/2/9,QQ Speed,65419108,1,0
2018/2/10,A Dream of Jianghu,42941194,1,0
2018/2/11,Candy Crush Saga,33307499,1,0
2018/2/12,Dragon Ball Z Dokkan Battle,36088308,1,0
2018/2/13,Fantasy Westward Journey,60644220,1,0
2018/2/14,Fate/Grand Order,84736371,1,0
2018/2/15,Honour of Kings,123002574,1,0
2018/2/16,Knives Out,26825805,1,0
2018/2/17,Monster Strike,54040269,1,0
2018/2/18,MU Awakening,27106337,1,0
2018/2/19,QQ Speed,78768064,1,0
2018/2/20,A Dream of Jianghu,51653992,1,0
2018/2/21,Candy Crush Saga,39954283,1,0
2018/2/22,Fantasy Westward Journey,72125520,1,0
2018/2/23,Fate/Grand Order,49435978,1,0
2018/2/24,Honour of Kings,110355240,1,0
2018/2/25,Knives Out,33055251,1,0
2018/2/26,Monster Strike,38203014,1,0
2018/2/27,Pokémon GO,25261781,1,0
2018/2/28,QQ Speed,78506147,1,0
2018/3/1,Westward Journey Online,25170078,1,0
